2026-04-14 12:23:23.940 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0316
2026-04-14 12:23:24.030 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0316
2026-04-14 12:23:24.121 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0317
2026-04-14 12:23:24.211 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0316
2026-04-14 12:23:24.301 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0498 | Threshold: 0.0314
2026-04-14 12:23:24.391 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0508 | Threshold: 0.0314
2026-04-14 12:23:24.482 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0504 | Threshold: 0.0314
2026-04-14 12:23:24.571 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0501 | Threshold: 0.0316
2026-04-14 12:23:24.661 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0499 | Threshold: 0.0316
2026-04-14 12:23:24.751 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0317
2026-04-14 12:23:24.841 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0491 | Threshold: 0.0317
2026-04-14 12:23:24.932 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0489 | Threshold: 0.0317
2026-04-14 12:23:25.023 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0489 | Threshold: 0.0317
2026-04-14 12:23:25.113 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0493 | Threshold: 0.0316
2026-04-14 12:23:25.204 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0493 | Threshold: 0.0316
2026-04-14 12:23:25.294 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0497 | Threshold: 0.0317
2026-04-14 12:23:25.385 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0501 | Threshold: 0.0318
2026-04-14 12:23:25.476 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0507 | Threshold: 0.0317
2026-04-14 12:23:25.567 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0510 | Threshold: 0.0317
2026-04-14 12:23:25.657 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0513 | Threshold: 0.0317
2026-04-14 12:23:25.747 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0514 | Threshold: 0.0316
2026-04-14 12:23:25.839 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0511 | Threshold: 0.0316
2026-04-14 12:23:25.929 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0505 | Threshold: 0.0315
2026-04-14 12:23:26.019 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0499 | Threshold: 0.0314
2026-04-14 12:23:26.109 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0314
2026-04-14 12:23:26.200 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0486 | Threshold: 0.0314
2026-04-14 12:23:26.290 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0479 | Threshold: 0.0314
2026-04-14 12:23:26.380 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0476 | Threshold: 0.0314
2026-04-14 12:23:26.471 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0475 | Threshold: 0.0314
2026-04-14 12:23:26.561 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0474 | Threshold: 0.0315
2026-04-14 12:23:26.651 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0480 | Threshold: 0.0315
2026-04-14 12:23:26.742 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0483 | Threshold: 0.0315
2026-04-14 12:23:26.832 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0484 | Threshold: 0.0315
2026-04-14 12:23:26.923 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0485 | Threshold: 0.0315
2026-04-14 12:23:27.014 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0486 | Threshold: 0.0315
2026-04-14 12:23:27.105 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0487 | Threshold: 0.0315
2026-04-14 12:23:27.195 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0489 | Threshold: 0.0314
2026-04-14 12:23:27.285 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0491 | Threshold: 0.0313
2026-04-14 12:23:27.375 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0492 | Threshold: 0.0313
2026-04-14 12:23:27.465 | DEBUG    | models.squat:update:34 - Rep 0 | Diff: 0.0493 | Threshold: 0.0312
